instruction,input,output
What does the acronym 'PROGRAM GUIDE' stand for in the context of the Comprehensive Pain Rehabilitation Center?,,Pain Rehabilitation Overall Goals Recognizing Assessment Management Goals Unity Individualize Do Evaluate
What is the Mayo Comprehensive Pain Rehabilitation Center focused on and what treatments does it provide?,,"The Mayo Comprehensive Pain Rehabilitation Center is focused on providing multidisciplinary rehabilitative therapy to patients with chronic pain with the goal of improving quality of life and facilitating a return to regular daily activities. The program includes treatments such as physical reconditioning, biofeedback and relaxation training, stress management, activity moderation, and cognitive restructuring to decrease pain catastrophizing and pain anxiety."
What is chronic pain and how does it affect individuals?,,"Chronic pain refers to pain that does not improve with time and may affect a specific part of the body or involve many regions at once. It can lead to difficulty functioning in daily activities, occupational disability, depression, drug-related complications, and diminished quality of life."
What are some common chronic pain disorders seen at the PRC?,,"Chronic back pain, fibromyalgia, chronic headache/migraines, generalized pain or pain in multiple sites, abdominal pain, neck pain, and various other pain sites including upper or lower extremities, chestwall, jaw, pelvic area, shoulders, hands, joints, knees, mouth, foot and face pain, as well as postmastectomy and neuropathic pain."
What are the primary goals of the Pain Rehabilitation Center?,,"The primary goal of the Pain Rehabilitation Center is to restore functioning and improve quality of life for persons suffering with chronic pain. Other important goals include returning to regular daily activities, increasing physical strength, and minimizing the use of pain medications."
What types of treatments and therapies are provided at the Pain Rehabilitation Center?,,The Pain Rehabilitation Center provides many types of treatments and therapies in an integrated program to help each patient achieve individualized rehabilitation goals.
What is the role of narcotic medications in treating chronic pain?,,"The role of narcotic medications in treating chronic pain is complex and sometimes controversial. Often long-term use of narcotic medications does little to relieve chronic pain and may cause debilitating side effects that limit one's functioning and mobility even greater. When used appropriately, some medications can help to reduce pain with limited side effects for some people."
What topics are covered in the groups related to chemical health at the PRC?,,"The groups at the PRC cover topics such as prescription medications and hidden addictions, medical aspects of chemical use, alternative and complementary medicine and chronic pain, and pharmacologic interventions."
What does the PRC recognize about the use of complementary and alternative therapies?,,"The PRC recognizes that the use of complementary and alternative therapies for treatment of chronic anxiety, pain, and sleeping problems has become more popular in recent years."
What is the focus of the group therapy sessions offered in the PRC program?,,"The group therapy sessions offered in the PRC program focus on helping patients recognize and deal with negative changes and emotions, improve relationships, and become more effective at managing their pain. The sessions involve informal discussions about how chronic pain affects lives, as well as formal lectures on how to effectively deal with pain."
How can stress and pain impact each other?,,"Stress and pain have a pronounced effect on each other. When a person is in pain, the typical stress of daily life can become much more difficult, often turning common hassles into major obstacles. Stress can also impact pain. The physical reactions to stress such as increased muscle tension can significantly intensify pain. In short, pain causes stress and stress intensifies pain."
What types of activities are patients assessed on in the physical therapy aspect of the program?,,Patients are assessed on aerobic activity levels (activities such as walking or riding a bike) as well as strength training.
What is the focus of occupational therapy in the PRC program?,,"The goal of occupational therapy in the PRC program is to create a balance between work, self-care, and leisure activities, and to help individuals increase control and independence in their activities of daily living."
What is biofeedback and how does it help with chronic pain?,,"Biofeedback is a treatment that provides information about how physiological processes in the body can be negatively affected by chronic pain. It uses a computerized instrument to measure and increase a patient's awareness of involuntary physiologic processes such as breathing rate and muscle tension. By learning how to increase control over these processes, patients can strengthen their ability to maintain control while engaged in daily activities, helping to manage pain and improve quality of life."
How does chronic pain impact sleep according to a Gallop poll sponsored by the National Sleep Foundation?,,62% of chronic pain patients report disrupted sleep.
What does the PRC believe is key in managing chronic pain?,,The PRC strongly believes that decisions and habits related to one's lifestyle are key in managing chronic pain.
